Timestamp,"Domisili saat ini (kota, provinsi)","Domisili saat ini (kota, provinsi)",Kelamin,Umur kamu berapa saat ini?,"Adakah komunitas JavaScript di sekitar tempat tinggal kamu? Jika ada, boleh disebutkan nama komunitasnya apa saja. Boleh meetup, telegram grup, WhatsApp, FB group dan sebagainya",Kegiatan saat ini,,Kamu sedang tertarik belajar tentang framework apa?,Media terbaik buat kamu untuk belajar pemrograman?,Pengalaman kerja,Bagaimana biasanya kamu belajar sebuah teknologi atau framework?,Saat ini menggunakan framework apa?,Bagaimana pendapatmu tentang framework tersebut? (Kelebihan dan kekurangan),Saat ini sedang tertarik belajar framework apa?,Pertimbangan utama memilih sebuah teknologi?,Gaji saat ini berkisar antara...,Perusahaan kamu saat ini memiliki...,"Saat mencari talenta, biasanya banyak merekrut dari mana?",Apakah tim development sudah menggunakan testing dalam proses development,Alat bantu testing yang digunakan
10/23/2019 7:33,Bekasi,Bekasi,Laki-laki,23,Jakarta JS,Frontend,Frontend,,,1-2 tahun,Langsung membuat proyek-proyek sederhana,React,"React powerful untuk performance, kekurangan mungkin belum terlalu support SEO friendly",Vue,"User friendly (cepat, ringan, kecil)",5-10 juta per bulan,50-100 orang,"Situs pencari kerja seperti urbanhire, jobsdb, dll",Belum,
10/23/2019 12:52,"Semarang, Jawa Tengah","Semarang, Jawa Tengah",Laki-laki,27,JavaScript Semarang,graphic designer,lainnya,"React, Vue, express",Video,,,,,,,,,,,
10/24/2019 19:33,Jakarta,Jakarta,Laki-laki,22,jakartaJs,Fullstack,Fullstack,,,1-2 tahun,Dari tutorial,Vue,"Banyak ""magic""-nya",React,Yang populer atau paling banyak digunakan,5-10 juta per bulan,Diatas 1000 orang,"Situs pencari kerja seperti urbanhire, jobsdb, dll",Kadang-kadang,Jest
10/25/2019 9:04,"Mataram, NTB","Mataram, NTB",Laki-laki,23,Lombok JS,Baru lulus kuliah,kuliah,React,Video,,,,,,,,,,,
10/27/2019 18:19,Yogyakarta,Yogyakarta,Laki-laki,30,Jogja JS,Freelance web dev dan designer,Freelance,Saya suka tanpa framework 😅,"Artikel, tapi punya mentor lebih disukai",,,,,,,,,,,
10/30/2019 11:38,"Jakarta Selatan, DKI Jakarta","Jakarta Selatan, DKI Jakarta",Laki-laki,25,Jakarta JS,Fullstack,Fullstack,,,1-2 tahun,Langsung mencoba menggunakan,React,"Mudah digunakan, dukungan komunitas banyak, dokumentasi dan tips tersebar banyak.",Svelte,"User friendly (cepat, ringan, kecil)",10-20 juta per bulan,20-50 orang,"Situs pencari kerja seperti urbanhire, jobsdb, dll",Belum,
10/31/2019 2:28,"Jakarta Selatan, DKI Jakarta","Jakarta Selatan, DKI Jakarta",Laki-laki,26,"JakartaJS, Facebook Developer Circle Jakarta, Impact Byte Alumni",Fullstack,Fullstack,,,Dibawah 1 tahun,Dari dokumentasi resmi,React,"Kelebihannya disupport banyak komunitas, kekurangan di sisi mobile/react native yang kurang update seperti di react",Flutter,Developer friendly,5-10 juta per bulan,10-20 orang,"LinkedIn, TechInAsia Job",Harus,Jest
11/2/2019 15:23,Jakarta,Jakarta,Laki-laki,21,"Yang saya thu, jakartajs",Frontend,Frontend,,,Dibawah 1 tahun,Dari tutorial,Vue,"Simple, minimalist, big community",React,Yang populer atau paling banyak digunakan,0-5 juta per bulan,1-5 orang,Referal dari rekan,Belum,
11/23/2019 12:57,Bandung,Bandung,Laki-laki,29,BandungJS,Akuntan,lainnya,React,Video,,,,,,,,,,,
12/9/2019 16:24,"Tangerang Selatan, Bantern","Tangerang Selatan, Bantern",Laki-laki,25,JakartaJS,Frontend,Frontend,,,2-5 tahun,Dari dokumentasi resmi,React,#NAME?,Svelte,"User friendly (cepat, ringan, kecil)",10-20 juta per bulan,100-1000 orang,Social media,Belum,
12/30/2019 13:04,"bandung,jawa barat","bandung,jawa barat",Laki-laki,22,"ada, bandungjs",Fullstack,Fullstack,,,2-5 tahun,Langsung mencoba menggunakan,React,ya begitulah,React,"User friendly (cepat, ringan, kecil)",5-10 juta per bulan,100-1000 orang,"Situs pencari kerja seperti urbanhire, jobsdb, dll","Sudah, tapi belum semua",Jest
